"tanggal","year","stasiun","pm10","so2","co","o3","no2","max","critical","categori","sum_partikulat"
"2010-04-07","2010","DKI1 (Bunderan HI)",70,14,42,62,25,70,"PM10","SEDANG",213
"2010-04-08","2010","DKI1 (Bunderan HI)",65,15,54,102,27,102,"O3","TIDAK SEHAT",263
"2010-04-09","2010","DKI1 (Bunderan HI)",59,12,46,27,15,59,"PM10","SEDANG",159
"2010-04-10","2010","DKI1 (Bunderan HI)",40,10,33,33,12,40,"PM10","BAIK",128
"2010-04-11","2010","DKI1 (Bunderan HI)",45,10,31,21,11,45,"PM10","BAIK",118
"2010-04-12","2010","DKI1 (Bunderan HI)",66,19,39,80,25,80,"O3","SEDANG",229
"2010-04-13","2010","DKI1 (Bunderan HI)",57,17,34,80,24,80,"O3","SEDANG",212
"2010-04-14","2010","DKI1 (Bunderan HI)",70,16,40,59,21,70,"PM10","SEDANG",206
"2010-04-15","2010","DKI1 (Bunderan HI)",70,13,57,41,19,70,"PM10","SEDANG",200
"2010-04-16","2010","DKI1 (Bunderan HI)",38,11,30,42,13,42,"O3","BAIK",134
"2010-04-17","2010","DKI1 (Bunderan HI)",38,10,26,28,12,38,"PM10","BAIK",114
"2010-04-18","2010","DKI1 (Bunderan HI)",36,9,22,27,10,36,"PM10","BAIK",104
"2010-04-19","2010","DKI1 (Bunderan HI)",36,17,24,20,10,36,"PM10","BAIK",107
"2010-04-20","2010","DKI1 (Bunderan HI)",39,17,27,24,12,39,"PM10","BAIK",119
"2010-04-21","2010","DKI1 (Bunderan HI)",41,17,23,30,12,41,"PM10","BAIK",123
"2010-04-22","2010","DKI1 (Bunderan HI)",37,17,34,25,14,37,"PM10","BAIK",127
"2010-04-23","2010","DKI1 (Bunderan HI)",29,17,22,23,12,29,"PM10","BAIK",103
"2010-04-24","2010","DKI1 (Bunderan HI)",31,17,28,36,12,36,"O3","BAIK",124
"2010-04-25","2010","DKI1 (Bunderan HI)",50,17,26,55,29,55,"O3","SEDANG",177
"2010-04-26","2010","DKI1 (Bunderan HI)",58,17,31,67,29,67,"O3","SEDANG",202
"2010-04-27","2010","DKI1 (Bunderan HI)",67,17,30,52,18,67,"PM10","SEDANG",184
"2010-04-28","2010","DKI1 (Bunderan HI)",56,17,26,30,15,56,"PM10","SEDANG",144
"2010-04-29","2010","DKI1 (Bunderan HI)",61,17,34,61,26,61,"PM10","SEDANG",199
"2010-04-30","2010","DKI1 (Bunderan HI)",76,17,42,42,24,76,"PM10","SEDANG",201
"2010-05-01","2010","DKI1 (Bunderan HI)",60,17,24,28,10,60,"PM10","SEDANG",139
"2010-05-02","2010","DKI1 (Bunderan HI)",58,16,19,31,13,58,"PM10","SEDANG",137
"2010-05-03","2010","DKI1 (Bunderan HI)",60,16,29,73,18,73,"O3","SEDANG",196
"2010-05-04","2010","DKI1 (Bunderan HI)",53,13,27,31,16,53,"PM10","SEDANG",140
